RECORD_TYPE,RECORD_ID,DATESTAMP,TRANSACTION_TYPE,DISCOUNT_CODE,D_PRODUCT,MSG_ID,VOLUME_UNIT_TYPE,VOLUME_UNITS,ACCESS_ID,PROFILE_ID,MOBILE_ID,REGION,AMOUNT
MR,1,2024-06-01 00:00:00,0A,31,IDPMMF,2036432,L,100,          ,60001406,01104919SKY16B0,,132000
MR,2,2024-06-01 00:00:00,0A,31,IDPMMF,5806487,L,100,          ,60001406,01377867SKYB9B4,,132000
MR,3,2024-06-01 00:00:00,0A,31,IDPMMF,3532920,L,100,          ,60001406,01369652SKY3D41,,132000
MR,4,2024-06-01 00:00:00,0A,31,IDPMMF,3638845,L,100,          ,60001406,01382818SKYF667,,132000
MR,5,2024-06-01 00:00:00,0A,31,IDPMMF,3638844,L,100,          ,60001406,01382820SKYFE71,,132000
MR,6,2024-06-01 00:00:00,0A,31,IDPMMF,4073966,L,100,          ,60001406,01446835SKY9CBC,,132000
MR,7,2024-06-01 00:00:00,0A,31,IDPMMF,4073967,L,100,          ,60001406,01446845SKYC4EE,,132000
MR,8,2024-06-01 00:00:00,0A,31,IDPMMF,4073964,L,100,          ,60001406,01446850SKY5907,,132000
MR,9,2024-06-01 00:00:00,0A,31,IDPMMF,4073965,L,100,          ,60001406,01446854SKY691B,,132000
MR,10,2024-06-01 00:00:00,0A,31,IDPMMF,4073968,L,100,          ,60001406,01446857SKYF52A,,132000
MR,11,2024-06-01 00:00:00,0A,31,IDPMMF,7001849,L,100,          ,60001406,01520498SKYB777,,132000
MR,12,2024-06-01 00:00:00,0A,31,IDPMMF,5534706,L,100,          ,60001406,01680651SKYD374,,132000
MR,13,2024-06-01 00:00:00,0A,31,IDPMMF,5823603,L,100,          ,60001406,01680675SKY33EC,,132000
MR,14,2024-06-01 00:00:00,0A,31,IDPMMF,5314081,L,100,          ,60001406,01689767SKYF580,,132000
MR,15,2024-06-01 00:00:00,0A,31,IDPMMF,5314082,L,100,          ,60001406,01692423SKYA960,,132000
MR,16,2024-06-01 00:00:00,0A,31,IDPMMF,5974047,L,100,          ,60001406,01802778SKYE0BF,,132000
MR,17,2024-06-01 00:00:00,0A,31,IDPMMF,7001850,L,100,          ,60001406,01995175QCS4280,,132000
MR,18,2024-06-01 00:00:00,0A,31,IDPMMF,7144386,L,100,          ,60001406,02045838SKY3C03,,132000
MR,19,2024-06-01 00:00:00,0A,31,IDPMMF,7005165,L,100,          ,60001406,02046435SKY1BAC,,132000
MA,20,2024-06-01 00:00:10,96,1,IDPDAT,718225831,Y,10000,  70001406,60001406,01377867SKYB9B4,APACRB7,0
MA,21,2024-06-01 00:00:10,96,0,IDPDAT,718225831,Y,3360,  70001406,60001406,01377867SKYB9B4,APACRB7,27888
MA,22,2024-06-01 00:00:10,96,1,IDPDAT,16668769045,Y,10000,  70001406,60001406,01382820SKYFE71,APACRB7,0
MA,23,2024-06-01 00:00:10,96,0,IDPDAT,16668769045,Y,3440,  70001406,60001406,01382820SKYFE71,APACRB7,28552
MA,24,2024-06-01 00:00:12,96,1,IDPDAT,718228139,Y,10000,  70001406,60001406,01382818SKYF667,APACRB7,0
MA,25,2024-06-01 00:00:12,96,0,IDPDAT,718228139,Y,3470,  70001406,60001406,01382818SKYF667,APACRB7,28801
MA,26,2024-06-01 00:00:14,96,1,IDPDAT,700216780,Y,10000,  70001406,60001406,01369652SKY3D41,APACRB7,0
MA,27,2024-06-01 00:00:14,96,0,IDPDAT,700216780,Y,3550,  70001406,60001406,01369652SKY3D41,APACRB7,29465
MA,28,2024-06-01 00:00:14,96,1,IDPDAT,709450265,Y,10000,  70001406,60001406,01680675SKY33EC,APACRB7,0
MA,29,2024-06-01 00:00:14,96,0,IDPDAT,709450265,Y,3530,  70001406,60001406,01680675SKY33EC,APACRB7,29299
MA,30,2024-06-01 00:00:15,96,1,IDPDAT,699685216,Y,10000,  70001406,60001406,02045838SKY3C03,APACRB7,0
MA,31,2024-06-01 00:00:15,96,0,IDPDAT,699685216,Y,3600,  70001406,60001406,02045838SKY3C03,APACRB7,29880
MA,32,2024-06-01 11:46:08,96,1,IDPDAT,698807886,Y,7020,  70001406,60001406,01692423SKYA960,APACRB7,0
MA,33,2024-06-01 11:46:08,96,1,IDPDAT,698807906,Y,6470,  70001406,60001406,01802778SKYE0BF,APACRB7,0
MA,34,2024-06-01 11:46:11,96,1,IDPDAT,698807924,Y,6710,  70001406,60001406,01446845SKYC4EE,APACRB7,0
MA,35,2024-06-01 11:46:11,96,1,IDPDAT,698807907,Y,6920,  70001406,60001406,01446850SKY5907,APACRB7,0
MA,36,2024-06-01 11:46:11,96,1,IDPDAT,698807918,Y,5850,  70001406,60001406,01446854SKY691B,APACRB7,0
MA,37,2024-06-01 11:46:11,96,1,IDPDAT,698807927,Y,6710,  70001406,60001406,01446857SKYF52A,APACRB7,0
MA,38,2024-06-01 11:46:12,96,1,IDPDAT,698807921,Y,4020,  70001406,60001406,01446835SKY9CBC,IOERB19,0
MA,39,2024-06-01 11:46:12,96,1,IDPDAT,698807905,Y,6460,  70001406,60001406,01689767SKYF580,APACRB7,0
MA,40,2024-06-07 07:29:45,96,1,IDPDAT,707819200,Y,6540,  70001406,60001406,02046435SKY1BAC,APACRB7,0
